piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count,collision_contact_min_x,collision_contact_max_x,collision_contact_mean_x,collision_contact_center_offset_px,contact_min_y,contact_max_y,contact_mean_y,contact_left_offset_px,contact_right_offset_px,contact_span_from_com_px,contact_normal_angle_rad,contact_torque_proxy,contact_com_distance_px,contact_asymmetry_px
"27","falling","0","5.0","","195.000","96.616","0.00000","0.54390","0.54390","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","0.00000","0.000000","0.00000","0.54390","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","1","16.0","","195.000","97.048","0.00000","0.72119","0.72119","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","0.54390","0.000000","0.00000","0.17729","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","2","33.0","","195.000","97.956","0.00000","0.99193","0.99193","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","0.72119","0.000000","0.00000","0.27074","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","3","50.0","","195.000","99.059","0.00000","1.24296","1.24296","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","0.99193","0.000000","0.00000","0.25102","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","4","66.0","","195.000","100.495","0.00000","1.50576","1.50576","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","1.24296","0.000000","0.00000","0.26280","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","5","83.0","","195.000","102.196","0.00000","1.76457","1.76457","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","1.50576","0.000000","0.00000","0.25881","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","6","100.0","","195.000","104.035","0.00000","2.00452","2.00452","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","1.76457","0.000000","0.00000","0.23996","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","7","116.0","","195.000","106.240","0.00000","2.25574","2.25574","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","2.00452","0.000000","0.00000","0.25122","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","8","133.0","","195.000","108.698","0.00000","2.50314","2.50314","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","2.25574","0.000000","0.00000","0.24740","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","9","150.0","","195.000","111.239","0.00000","2.73252","2.73252","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","2.50314","0.000000","0.00000","0.22938","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","10","168.0","","195.000","114.180","0.00000","2.97266","2.97266","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","2.73252","0.000000","0.00000","0.24014","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","11","183.0","","195.000","117.363","0.00000","3.20915","3.20915","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","2.97266","0.000000","0.00000","0.23649","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","12","200.0","","195.000","120.576","0.00000","3.42842","3.42842","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","3.20915","0.000000","0.00000","0.21927","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","13","216.0","","195.000","124.219","0.00000","3.65798","3.65798","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","3.42842","0.000000","0.00000","0.22956","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","14","233.0","","195.000","128.095","0.00000","3.88404","3.88404","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","3.65798","0.000000","0.00000","0.22607","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","15","250.0","","195.000","131.949","0.00000","4.09364","4.09364","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","3.88404","0.000000","0.00000","0.20960","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"27","falling","16","266.0","","195.000","136.265","0.00000","4.31308","4.31308","0.000000","0.000000","0","0","4.88000","2744.433","3.428","6.000","6.000","9.000","12.000","12.000","0.000","0.000","0","0","1.1545","66","132","66","70","66","0.00000","4.09364","0.000000","0.00000","0.21944","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
