piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count,collision_contact_min_x,collision_contact_max_x,collision_contact_mean_x,collision_contact_center_offset_px,contact_min_y,contact_max_y,contact_mean_y,contact_left_offset_px,contact_right_offset_px,contact_span_from_com_px,contact_normal_angle_rad,contact_torque_proxy,contact_com_distance_px,contact_asymmetry_px
"36","falling","0","32.0","","195.000","96.616","0.00000","0.54390","0.54390","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","0.00000","0.000000","0.00000","0.54390","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","1","42.0","","195.000","97.048","0.00000","0.72119","0.72119","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","0.54390","0.000000","0.00000","0.17729","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","2","59.0","","195.000","97.956","0.00000","0.99193","0.99193","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","0.72119","0.000000","0.00000","0.27074","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","3","76.0","","195.000","99.059","0.00000","1.24296","1.24296","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","0.99193","0.000000","0.00000","0.25102","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","4","92.0","","195.000","100.495","0.00000","1.50576","1.50576","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","1.24296","0.000000","0.00000","0.26280","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","5","109.0","","195.000","102.196","0.00000","1.76457","1.76457","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","1.50576","0.000000","0.00000","0.25881","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","6","126.0","","195.000","104.035","0.00000","2.00452","2.00452","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","1.76457","0.000000","0.00000","0.23996","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","7","142.0","","195.000","106.240","0.00000","2.25574","2.25574","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","2.00452","0.000000","0.00000","0.25122","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","8","159.0","","195.000","108.698","0.00000","2.50314","2.50314","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","2.25574","0.000000","0.00000","0.24740","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","9","176.0","","195.000","111.239","0.00000","2.73252","2.73252","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","2.50314","0.000000","0.00000","0.22938","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","10","192.0","","195.000","114.180","0.00000","2.97266","2.97266","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","2.73252","0.000000","0.00000","0.24014","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","11","209.0","","195.000","117.363","0.00000","3.20915","3.20915","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","2.97266","0.000000","0.00000","0.23649","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","12","226.0","","195.000","120.576","0.00000","3.42842","3.42842","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","3.20915","0.000000","0.00000","0.21927","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","13","242.0","","195.000","124.219","0.00000","3.65798","3.65798","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","3.42842","0.000000","0.00000","0.22956","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","14","259.0","","195.000","128.095","0.00000","3.88404","3.88404","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","3.65798","0.000000","0.00000","0.22607","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","15","275.0","","195.000","131.949","0.00000","4.09364","4.09364","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","3.88404","0.000000","0.00000","0.20960","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","16","292.0","","195.000","136.265","0.00000","4.31308","4.31308","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","4.09364","0.000000","0.00000","0.21944","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","17","309.0","","195.000","140.803","0.00000","4.52918","4.52918","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","4.31308","0.000000","0.00000","0.21610","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","18","326.0","","195.000","145.271","0.00000","4.72954","4.72954","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","4.52918","0.000000","0.00000","0.20036","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","19","342.0","","195.000","150.229","0.00000","4.93930","4.93930","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","4.72954","0.000000","0.00000","0.20976","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","20","359.0","","195.000","155.399","0.00000","5.14588","5.14588","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","4.93930","0.000000","0.00000","0.20657","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","21","376.0","","195.000","160.454","0.00000","5.33741","5.33741","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","5.14588","0.000000","0.00000","0.19153","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","22","392.0","","195.000","166.027","0.00000","5.53792","5.53792","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","5.33741","0.000000","0.00000","0.20052","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","23","409.0","","195.000","171.801","0.00000","5.73539","5.73539","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","5.53792","0.000000","0.00000","0.19747","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","24","426.0","","195.000","177.417","0.00000","5.91848","5.91848","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","5.73539","0.000000","0.00000","0.18309","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","25","442.0","","195.000","183.577","0.00000","6.11015","6.11015","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","5.91848","0.000000","0.00000","0.19168","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","26","459.0","","195.000","189.930","0.00000","6.29891","6.29891","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","6.11015","0.000000","0.00000","0.18876","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","27","476.0","","195.000","196.082","0.00000","6.47393","6.47393","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","6.29891","0.000000","0.00000","0.17501","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","28","492.0","","195.000","202.802","0.00000","6.65716","6.65716","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","6.47393","0.000000","0.00000","0.18323","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"36","falling","29","509.0","","195.000","209.708","0.00000","6.83760","6.83760","0.000000","0.000000","0","0","4.75600","2213.019","1.122","5.000","5.000","5.000","13.000","18.000","0.000","0.000","0","0","1.3877","63","126","63","63","48","0.00000","6.65716","0.000000","0.00000","0.18044","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
