piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count,collision_contact_min_x,collision_contact_max_x,collision_contact_mean_x,collision_contact_center_offset_px,contact_min_y,contact_max_y,contact_mean_y,contact_left_offset_px,contact_right_offset_px,contact_span_from_com_px,contact_normal_angle_rad,contact_torque_proxy,contact_com_distance_px,contact_asymmetry_px
"9","falling","0","24.0","","195.000","96.616","0.00000","0.54390","0.54390","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","0.00000","0.000000","0.00000","0.54390","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","1","30.0","","195.000","96.833","0.00000","0.64077","0.64077","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","0.54390","0.000000","0.00000","0.09687","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","2","47.0","","195.000","97.661","0.00000","0.91274","0.91274","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","0.64077","0.000000","0.00000","0.27196","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","3","64.0","","195.000","98.763","0.00000","1.18056","1.18056","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","0.91274","0.000000","0.00000","0.26783","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","4","80.0","","195.000","100.045","0.00000","1.42888","1.42888","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","1.18056","0.000000","0.00000","0.24832","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","5","97.0","","195.000","101.669","0.00000","1.68886","1.68886","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","1.42888","0.000000","0.00000","0.25998","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","6","114.0","","195.000","103.555","0.00000","1.94488","1.94488","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","1.68886","0.000000","0.00000","0.25602","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","7","130.0","","195.000","105.565","0.00000","2.18225","2.18225","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","1.94488","0.000000","0.00000","0.23737","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","8","147.0","","195.000","107.949","0.00000","2.43077","2.43077","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","2.18225","0.000000","0.00000","0.24851","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
"9","falling","9","164.0","","195.000","110.585","0.00000","2.67550","2.67550","0.000000","0.000000","0","0","5.03800","2670.843","2.201","5.000","5.000","7.000","9.000","37.000","0.000","0.000","0","0","1.0585","78","156","78","82","79","0.00000","2.43077","0.000000","0.00000","0.24473","0.000000","","","","","0","0","0","0","","","","","","","","","","","","","",""
