run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,solver_delta_angular,correction_delta_angular,total_delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
1,36,1,1,239,START,2605;2608,5.000,19.524,0.000000,0.188422,0.188422,11.046508,4.447629,-6.598879,0.000000,0.161197,0.161197,0.257915,-0.096718,0.161197,-6.598879,-0.188422,195.000,0.000000,0.000,0.000000,4,4
1,36,1,2,240,PART_CHANGE+WIDTH_CHANGE,2605,3.038,21.125,0.188422,0.280767,0.092345,4.447629,3.713044,-0.734584,0.161197,0.170630,0.009433,0.024836,-0.015403,0.009433,-0.734584,-0.092345,195.048,0.040948,0.048,0.040948,2,2
1,36,1,3,241,RESPONSE,2605,3.072,22.685,0.280767,0.414544,0.133777,3.713044,3.575905,-0.137139,0.000000,0.064344,0.064344,0.167581,-0.103237,0.064344,-0.137139,-0.133777,195.115,0.081752,0.115,0.081752,1,2
1,36,1,4,242,RESPONSE,2605,3.083,23.264,0.414544,0.668436,0.253892,3.575905,2.398750,-1.177156,0.064344,0.078994,0.014651,0.038018,-0.023368,0.014651,-1.177156,-0.253892,195.214,0.097139,0.214,0.097139,2,2
1,36,1,5,243,RESPONSE,2605,3.096,23.967,0.668436,0.917792,0.249356,2.398750,1.919055,-0.479694,0.078994,0.084379,0.005385,0.005385,0.000000,0.005385,-0.479694,-0.249356,195.374,0.116029,0.374,0.116029,1,2
1,36,1,6,244,RESPONSE,2605,3.108,24.708,0.917792,1.226009,0.308217,1.919055,1.700816,-0.218239,0.084379,0.073091,-0.011288,-0.011288,0.000000,-0.011288,-0.218239,-0.308217,195.593,0.136207,0.593,0.136207,1,2
1,36,1,7,245,RESPONSE,2605,3.118,25.381,0.280767,1.426161,1.145394,1.700816,1.577229,-0.123587,0.000000,0.025849,0.025849,0.066316,-0.040467,0.025849,-0.123587,-1.145394,195.905,0.154774,0.905,0.154774,1,2
1,36,1,8,249,RESPONSE,2605,3.135,26.683,0.280767,1.519283,1.238516,1.036546,1.067468,0.030923,0.000000,0.017131,0.017131,0.043710,-0.026579,0.017131,0.030923,-1.238516,197.409,0.191376,2.409,0.191376,1,2
1,36,1,9,253,RESPONSE,2605,3.147,27.787,0.280767,1.396605,1.115837,1.014057,1.057223,0.043166,0.000000,0.015511,0.015511,0.039431,-0.023920,0.015511,0.043166,-1.115837,198.864,0.223235,3.864,0.223235,1,2
1,36,1,10,257,RESPONSE,2605,3.155,28.763,0.280767,1.286901,1.006134,0.977888,1.030837,0.052949,0.000000,0.014987,0.014987,0.038007,-0.023020,0.014987,0.052949,-1.006134,200.170,0.252130,5.170,0.252130,1,2
1,36,1,11,278,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,2604;2605;2611,12.077,30.538,1.356034,1.517851,0.161817,1.607817,1.359533,-0.248284,0.047932,0.054519,0.006587,0.006587,0.000000,0.006587,-0.248284,-0.161817,206.935,0.459083,11.935,0.459083,3,6
1,36,1,12,279,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,2604;2611,3.582,26.661,1.517851,1.519118,0.001267,1.359533,1.400128,0.040595,0.054519,0.055256,0.000737,0.000737,0.000000,0.000737,0.040595,-0.001267,207.321,0.472932,12.321,0.472932,2,4
1,36,1,13,280,PART_CHANGE+WIDTH_CHANGE,2611,0.468,25.475,1.519118,1.519994,0.000876,1.400128,1.440416,0.040287,0.055256,0.056047,0.000791,0.000791,0.000000,0.000791,0.040287,-0.000876,207.707,0.486969,12.707,0.486969,1,2
